Date,Open,High,Low,Close,Volume
2018-11-23,126.42,127.03,119.56,123.30,1998010000
2018-11-24,123.30,126.79,110.82,113.49,1800960000
2018-11-25,113.13,118.88,101.77,116.45,2466750000
2018-11-26,116.34,118.20,104.89,108.33,2139490000
2018-11-27,107.91,111.84,102.45,110.01,2320010000
2018-11-28,110.20,126.05,110.20,122.44,2673470000
2018-11-29,122.72,123.23,115.30,117.54,2196099151
2018-11-30,117.73,119.42,111.74,113.17,2020748396
2018-12-01,113.40,120.84,111.62,118.64,2131475768
2018-12-02,118.27,120.56,116.09,116.39,1856199149
2018-12-03,116.38,116.62,107.42,108.93,1772756193
2018-12-04,108.80,113.14,107.40,110.21,1748116495
2018-12-05,110.34,110.60,102.48,102.48,1990157607
2018-12-06,102.45,104.10,91.76,91.76,2310716932
2018-12-07,91.65,96.09,83.47,93.29,2554304530
2018-12-08,93.41,97.06,86.83,92.16,1855759401
2018-12-09,92.04,98.90,91.03,95.14,1875567180
2018-12-10,94.99,96.26,90.65,91.69,1756437577
2018-12-11,91.58,92.78,87.69,88.95,1707497898
2018-12-12,88.61,92.24,88.26,90.59,1533050103
2018-12-13,90.66,91.11,85.52,86.54,1754475622
2018-12-14,86.63,87.14,83.23,84.31,1651491877
2018-12-15,84.28,85.34,82.83,84.44,1496176898
2018-12-16,84.47,87.57,84.47,85.26,1565817037
2018-12-17,85.38,96.81,85.38,95.13,2101453024
2018-12-18,95.11,101.32,92.97,101.11,2277514076
2018-12-19,101.68,108.55,100.69,101.27,2456482115
2018-12-20,101.09,117.17,100.64,116.22,3063842618
2018-12-21,115.84,119.09,107.58,109.50,2632539990
2018-12-22,109.46,116.76,107.50,116.76,2338772939
2018-12-23,117.27,133.08,117.27,130.77,3579715061
2018-12-24,130.64,157.67,130.64,140.24,4370343387
2018-12-25,141.00,141.00,125.11,129.84,3298280609
2018-12-26,129.89,136.68,126.29,131.87,2720469126
2018-12-27,131.92,132.68,115.65,116.58,2612804378
2018-12-28,116.90,137.65,115.69,137.65,3130201009
2018-12-29,138.47,147.03,134.57,138.02,3169029972
2018-12-30,137.63,140.69,133.98,139.86,2660086834
2018-12-31,140.03,140.18,132.52,133.37,2358360234
2019-01-01,133.42,141.40,132.65,140.82,2258709868
2019-01-02,141.52,156.93,140.65,155.05,3328240369
2019-01-03,155.20,155.86,147.20,149.14,2676164880
2019-01-04,148.91,156.88,147.91,154.58,3126192535
2019-01-05,154.34,160.82,154.34,155.64,3338211928
2019-01-06,155.80,159.37,152.09,157.75,3231294371
2019-01-07,157.81,158.45,151.15,151.70,2712108388
2019-01-08,151.97,153.63,148.67,150.36,2459808140
2019-01-09,150.55,153.62,150.29,150.80,2369241197
2019-01-10,150.84,152.15,126.53,128.63,3397734456
2019-01-11,127.81,130.17,125.24,127.55,2667585234
2019-01-12,127.53,128.67,125.45,125.97,2212109224
2019-01-13,125.91,126.27,116.09,116.90,2268263944
2019-01-14,116.98,130.86,116.97,129.07,2798085735
2019-01-15,129.17,130.74,120.31,122.03,2735449164
2019-01-16,121.81,127.12,121.44,123.55,2746469340
2019-01-17,123.57,124.27,120.82,123.74,2594091285
2019-01-18,123.65,123.84,120.24,121.01,2305389800
2019-01-19,121.61,125.90,121.16,124.52,3048261797
2019-01-20,124.63,125.07,118.70,119.47,2964108269
2019-01-21,119.64,119.72,116.16,117.16,2421720343
2019-01-22,117.11,119.66,114.68,118.75,2552507405
2019-01-23,118.71,119.42,116.38,117.45,2556952198
2019-01-24,117.46,118.03,116.01,117.36,2520843420
2019-01-25,117.59,117.80,115.83,116.38,2606881898
2019-01-26,116.37,118.08,115.98,116.49,2412181169
2019-01-27,116.51,116.69,113.41,113.41,2775888287
2019-01-28,113.29,113.69,103.34,106.59,3366895505
2019-01-29,106.72,107.17,104.00,105.60,2900418606
2019-01-30,105.41,109.45,104.84,108.91,2874370355
2019-01-31,108.90,110.46,106.53,107.06,2828796031
2019-02-01,107.15,108.64,105.05,107.61,2541271519
2019-02-02,107.47,110.65,106.76,110.43,2385157838
2019-02-03,110.49,110.83,106.56,107.49,2519334757
2019-02-04,107.63,108.70,107.07,107.82,2491888675
2019-02-05,107.63,108.13,106.91,107.44,2515863999
2019-02-06,107.57,107.57,102.93,104.92,2593048199
2019-02-07,104.84,106.06,104.41,104.54,2326764622
2019-02-08,104.65,119.81,104.19,119.27,3656841347
2019-02-09,119.21,120.69,118.00,119.43,2884650400
2019-02-10,119.41,124.85,117.11,124.81,3148766590
2019-02-11,124.87,124.87,120.31,121.30,3222473887
2019-02-12,121.18,123.47,119.60,122.57,3149576429
2019-02-13,122.54,125.55,121.61,122.55,3386585799
2019-02-14,122.42,124.45,121.33,121.39,3331701628
2019-02-15,121.45,123.66,121.37,122.10,3021741615
2019-02-16,122.40,124.13,122.30,123.26,2905833287
2019-02-17,123.18,134.46,123.09,133.60,4236081130
2019-02-18,133.03,147.69,133.00,146.10,5387525773
2019-02-19,146.40,149.93,145.13,145.35,5310842625
2019-02-20,145.17,149.55,142.50,149.55,4500094965
2019-02-21,149.35,149.35,144.56,146.13,3995766856
2019-02-22,146.07,149.27,145.21,149.09,3731099284
2019-02-23,148.68,159.13,147.33,158.80,4519468458
2019-02-24,158.90,165.55,135.85,135.85,5957715043
2019-02-25,135.50,142.53,135.48,139.82,4914392068
2019-02-26,139.65,139.98,136.58,138.09,3791292839
2019-02-27,138.03,141.34,131.60,136.13,4469776860
2019-02-28,136.28,138.85,135.66,136.75,4535438953
2019-03-01,136.84,139.00,136.43,136.44,3756124824
2019-03-02,136.35,137.18,132.44,134.21,3747176425
2019-03-03,134.79,135.85,131.33,132.25,3454374053
2019-03-04,132.16,132.73,125.40,127.77,4008171341
2019-03-05,127.79,138.23,126.74,137.82,4764849990
2019-03-06,137.96,139.97,136.15,138.79,4589054219
2019-03-07,138.94,140.86,137.27,138.03,4339206292
2019-03-08,138.31,139.50,133.56,135.13,4678816794
2019-03-09,134.89,139.12,134.68,137.97,5011918715
2019-03-10,138.18,138.27,135.69,136.76,4578438499
2019-03-11,136.85,137.35,133.10,133.83,4689807419
2019-03-12,134.01,135.27,130.94,134.44,4709988000
2019-03-13,134.61,134.61,132.72,133.26,4265162099
2019-03-14,133.20,135.18,132.75,133.71,4476532147
2019-03-15,133.57,138.40,133.57,137.69,4506861856
2019-03-16,137.91,144.56,137.91,142.40,4839003569
2019-03-17,142.24,142.37,139.32,140.00,3827157729
2019-03-18,140.10,142.27,138.84,139.37,4551739879
2019-03-19,139.25,140.99,139.14,140.52,4251488129
2019-03-20,140.48,140.95,138.31,140.69,4664134462
2019-03-21,140.48,141.00,135.86,136.64,5087247796
2019-03-22,136.56,138.79,136.23,137.18,4490899266
2019-03-23,137.04,139.39,136.91,138.24,4436568613
2019-03-24,138.32,138.38,136.31,136.99,4266845458
2019-03-25,137.08,137.70,133.49,135.03,4480516753
2019-03-26,135.05,135.46,133.76,135.46,4499271679
2019-03-27,135.45,141.08,135.34,140.99,5228240093
2019-03-28,141.01,141.01,138.43,139.42,4163212475
2019-03-29,139.34,142.55,138.05,142.50,5125602702
2019-03-30,142.36,149.61,141.03,142.09,5144662127
2019-03-31,142.14,142.19,140.70,141.51,4249050197
2019-04-01,141.47,142.73,140.74,141.83,4611999536
2019-04-02,141.84,165.23,141.64,163.96,9826645698
2019-04-03,164.01,178.32,157.32,161.46,10622456246
2019-04-04,161.43,164.93,155.24,158.05,7953123529
2019-04-05,158.02,167.22,157.44,165.51,7531316908
2019-04-06,165.51,172.52,161.80,165.95,7167016221
2019-04-07,165.98,175.21,164.93,174.53,7596176020
2019-04-08,174.45,184.38,174.16,180.26,9304964610
2019-04-09,180.22,180.25,175.09,176.11,7632529578
2019-04-10,176.07,183.13,175.23,177.34,7856924879
2019-04-11,177.34,177.49,162.32,165.50,7859383417
2019-04-12,165.34,166.13,161.03,164.74,6237185309
2019-04-13,164.62,166.36,163.01,164.51,4959301561
2019-04-14,164.48,168.59,162.78,167.84,4846298303
2019-04-15,167.90,168.82,159.56,161.57,5672311824
2019-04-16,161.53,167.67,160.89,167.62,5180105341
2019-04-17,167.55,168.94,165.50,166.95,5596102715
2019-04-18,166.91,175.37,166.67,173.81,6971581464
2019-04-19,173.79,173.98,170.62,173.71,6541053061
2019-04-20,173.72,176.71,171.79,173.75,6142567812
2019-04-21,173.72,174.42,167.43,170.05,6005571688
2019-04-22,170.02,173.07,168.73,171.87,6094878077
2019-04-23,172.01,176.85,170.90,171.45,7097827092
2019-04-24,171.35,171.57,161.98,165.83,7351304156
2019-04-25,165.91,166.51,153.85,154.46,6820332362
2019-04-26,154.58,158.03,152.09,156.35,7505283355
2019-04-27,156.27,160.59,155.62,158.43,5863109118
2019-04-28,158.50,159.57,157.13,157.30,5379894433
2019-04-29,157.29,158.33,153.19,155.20,6053776253
2019-04-30,155.17,162.43,155.17,162.17,6275803460
2019-05-01,162.19,164.06,159.66,160.82,5789172433
2019-05-02,160.85,162.94,160.06,162.12,6044171062
2019-05-03,162.08,170.07,161.08,167.95,7299410672
2019-05-04,167.89,170.65,161.79,164.03,6658100049
2019-05-05,164.02,165.40,159.70,163.45,5938415562
2019-05-06,163.34,175.76,159.99,172.65,7540096853
2019-05-07,172.43,180.39,169.69,169.80,8411140170
2019-05-08,169.90,172.18,166.41,170.95,6416569598
2019-05-09,170.95,172.88,167.25,170.29,6546914198
2019-05-10,170.31,175.89,168.99,173.14,8036919053
2019-05-11,173.14,203.47,173.14,194.30,12578331654
2019-05-12,194.16,201.88,183.65,187.33,10326050090
2019-05-13,187.42,205.10,185.31,196.85,10367149039
2019-05-14,196.74,217.87,196.05,217.15,12751049755
2019-05-15,217.01,247.45,216.82,247.15,13460006534
2019-05-16,246.94,275.39,245.80,264.01,18661465873
2019-05-17,263.85,266.98,227.77,243.76,16037551694
2019-05-18,243.91,246.36,233.10,234.60,10933142646
2019-05-19,234.45,263.74,233.76,261.29,12049250894
2019-05-20,261.27,261.55,241.80,251.86,10834541285
2019-05-21,251.65,262.11,248.20,255.22,11545049593
2019-05-22,255.00,258.80,242.73,244.70,9818257463
2019-05-23,244.67,247.62,233.79,245.97,10671663487
2019-05-24,245.99,255.26,243.24,249.48,9929433206
2019-05-25,249.69,257.36,249.09,251.76,8924985385
2019-05-26,251.72,269.17,247.25,267.07,9664267731
2019-05-27,267.14,278.51,265.44,272.86,12074664736
2019-05-28,272.59,274.32,267.51,271.77,10362846898
2019-05-29,271.78,273.76,263.09,269.46,9819132174
2019-05-30,269.55,287.20,247.35,255.86,13604268584
2019-05-31,256.02,268.66,249.11,268.11,11255023515
2019-06-01,268.43,273.56,263.52,265.39,9942869852
2019-06-02,265.51,272.81,265.04,270.23,8744111713
2019-06-03,270.09,270.33,251.26,252.61,9375712917
2019-06-04,252.51,252.51,236.13,241.34,10132549747
2019-06-05,241.50,248.14,239.98,247.05,8548917062
2019-06-06,246.93,249.94,238.50,249.47,8265146806
2019-06-07,249.34,254.35,246.60,250.93,8379534528
2019-06-08,251.25,252.38,243.23,245.74,7225996863
2019-06-09,245.54,245.97,229.26,233.09,7566421456
2019-06-10,232.83,247.66,229.34,247.52,8141159848
2019-06-11,247.86,248.66,239.83,245.78,7382269700
2019-06-12,245.93,261.02,244.49,260.90,8645598618
2019-06-13,260.91,262.16,255.60,256.17,8442077836
2019-06-14,256.18,265.37,254.15,264.09,8676891267
2019-06-15,263.93,271.51,262.12,269.02,8126853944
2019-06-16,268.90,278.14,265.54,269.22,9676746453
2019-06-17,269.09,275.44,268.35,274.35,6009795781
2019-06-18,274.32,274.32,263.14,265.05,6205242504
2019-06-19,265.06,270.33,264.75,269.43,5516510947
2019-06-20,269.41,274.07,265.50,271.70,6408981097
2019-06-21,271.74,295.30,271.74,294.91,9331694140
2019-06-22,295.12,315.19,294.73,309.38,10613731255
2019-06-23,309.42,318.57,305.76,307.83,8161062380
2019-06-24,307.72,312.33,299.56,310.42,8205712062
2019-06-25,310.68,318.13,307.64,318.13,9641764965
2019-06-26,317.99,361.40,315.95,336.75,16437084081
2019-06-27,336.96,343.43,278.57,294.27,14038092503
2019-06-28,294.14,313.03,292.94,311.23,11514656820
2019-06-29,311.28,322.04,294.75,320.06,10929374565
2019-06-30,319.58,322.79,290.70,290.70,10303111000
2019-07-01,290.27,301.03,280.02,293.64,10292223948
2019-07-02,293.54,295.66,272.60,291.60,10618413952
2019-07-03,291.76,303.34,291.40,303.10,9926711979
2019-07-04,303.03,303.96,282.77,284.52,8403513106
2019-07-05,284.38,293.92,282.69,288.00,8723493015
2019-07-06,287.89,295.99,286.67,287.55,7674615025
2019-07-07,287.60,310.14,286.11,305.70,8119724981
2019-07-08,305.73,314.27,303.50,313.25,9078905628
2019-07-09,313.33,318.22,305.29,308.88,10055159803
2019-07-10,308.85,313.07,285.57,290.00,11679985167
2019-07-11,289.95,290.02,266.09,268.70,10216287022
2019-07-12,268.69,278.86,268.00,276.28,8148936015
2019-07-13,276.29,276.69,263.07,269.46,6716829429
2019-07-14,269.28,269.64,227.27,227.58,8578339386
2019-07-15,227.97,235.03,210.39,229.78,9723674244
2019-07-16,229.75,234.51,197.38,199.19,9036620494
2019-07-17,199.07,217.98,193.99,211.48,9387747640
2019-07-18,211.44,229.24,208.04,226.57,9327816059
2019-07-19,226.66,226.94,215.84,221.33,7606433131
2019-07-20,221.41,234.20,221.19,229.12,7976245988
2019-07-21,229.17,229.86,219.03,225.63,6685082868
2019-07-22,225.70,226.86,213.45,217.56,6338843919
2019-07-23,217.57,218.52,209.64,212.73,6976091534
2019-07-24,212.55,217.54,203.89,217.05,7168982843
2019-07-25,216.97,224.25,216.14,219.62,6731281160
2019-07-26,219.63,220.24,214.13,219.63,5729852178
2019-07-27,219.62,223.52,204.90,207.41,6257703908
2019-07-28,207.41,212.04,202.25,211.19,5504887934
2019-07-29,211.12,213.93,208.76,211.27,5485190664
2019-07-30,211.34,213.61,206.87,210.52,5489918859
2019-07-31,210.49,218.65,210.44,218.65,6003828340
2019-08-01,218.55,218.81,212.91,217.81,5965442642
2019-08-02,217.88,222.18,215.98,217.87,6159440229
2019-08-03,217.90,224.62,217.33,222.49,5697798687
2019-08-04,222.58,224.23,218.49,222.67,5238542572
2019-08-05,222.65,235.64,222.60,234.22,7765060287
2019-08-06,234.25,239.12,223.55,226.02,7647742672
2019-08-07,225.93,229.66,222.78,226.39,7020342210
2019-08-08,226.52,226.77,216.52,220.94,6713525644
2019-08-09,220.91,221.36,208.25,210.49,6964818795
2019-08-10,210.53,213.73,203.79,206.73,6584748527
2019-08-11,206.73,216.60,206.51,216.09,6440605605
2019-08-12,216.06,216.14,210.95,211.29,5674315559
2019-08-13,211.34,211.38,205.42,208.71,5946313205
2019-08-14,208.60,209.07,186.33,186.61,7444456154
